interval_start_time,CAISO_system_load
2023-07-31 07:00:00+00:00,26356.613
2023-07-31 08:00:00+00:00,23270.61
2023-07-31 09:00:00+00:00,21875.258
2023-07-31 10:00:00+00:00,21004.719
2023-07-31 11:00:00+00:00,20972.635
2023-07-31 12:00:00+00:00,21391.316
2023-07-31 13:00:00+00:00,22374.945
2023-07-31 14:00:00+00:00,23658.506
2023-07-31 15:00:00+00:00,24518.4
2023-07-31 16:00:00+00:00,24877.867
2023-07-31 17:00:00+00:00,24968.623
2023-07-31 18:00:00+00:00,25210.494
2023-07-31 19:00:00+00:00,26049.002
2023-07-31 20:00:00+00:00,27392.14
2023-07-31 21:00:00+00:00,29184.732
2023-07-31 22:00:00+00:00,30785.879
2023-07-31 23:00:00+00:00,32357.871
2023-08-01 00:00:00+00:00,34112.62
2023-08-01 01:00:00+00:00,34765.336
2023-08-01 02:00:00+00:00,34653.11
2023-08-01 03:00:00+00:00,33921.797
2023-08-01 04:00:00+00:00,32649.73
2023-08-01 05:00:00+00:00,30578.883
2023-08-01 06:00:00+00:00,28094.271
